evaluator_id,empatia,consistencia_de_marca,adequacao_de_tom,fluencia,model,persona,shot_type,period,unique_id
1,2,3,3,5,gpt5.5,persona_2,few_shot,after,restaurante_a_after_100_generated_responses_persona_2_few_shot__row_0088__model_gpt5.5__persona_2__few_shot__after
1,4,3,4,5,llama4,persona_2,zero_shot,before,restaurante_a_before_100_generated_responses_persona_2_zero_shot__row_0012__model_llama4__persona_2__zero_shot__before
1,2,2,3,5,gpt5.5,persona_1,zero_shot,after,restaurante_a_after_100_generated_responses_persona1_zero_shot__row_0077__model_gpt5.5__persona_1__zero_shot__after
1,4,3,4,4,gemini 3.1,persona_2,few_shot,before,restaurante_a_before_100_generated_responses_persona_2_few_shot__row_0010__model_gemini3.1__persona_2__few_shot__before
1,4,4,4,5,gpt5.5,persona_1,zero_shot,before,restaurante_a_before_100_generated_responses_persona_1_zero_shot__row_0032__model_gpt5.5__persona_1__zero_shot__before
1,5,3,5,5,gpt5.5,persona_1,few_shot,after,restaurante_a_after_100_generated_responses_persona_1_few_shot__row_0020__model_gpt5.5__persona_1__few_shot__after
1,4,4,4,5,gpt5.5,persona_1,zero_shot,before,restaurante_a_before_100_generated_responses_persona_1_zero_shot__row_0009__model_gpt5.5__persona_1__zero_shot__before
1,3,2,2,5,gemini 3.1,persona_1,zero_shot,before,restaurante_a_before_100_generated_responses_persona_1_zero_shot__row_0023__model_gemini3.1__persona_1__zero_shot__before
1,3,2,3,4,gemini 3.1,persona_1,zero_shot,before,restaurante_a_before_100_generated_responses_persona_1_zero_shot__row_0045__model_gemini3.1__persona_1__zero_shot__before
1,2,2,3,5,gemini 3.1,persona_2,zero_shot,after,restaurante_a_after_100_generated_responses_persona_2_zero_shot__row_0062__model_gemini3.1__persona_2__zero_shot__after
1,4,4,4,5,gpt5.5,persona_2,zero_shot,before,restaurante_a_before_100_generated_responses_persona_2_zero_shot__row_0054__model_gpt5.5__persona_2__zero_shot__before
1,4,3,5,5,llama4,persona_1,zero_shot,after,restaurante_a_after_100_generated_responses_persona1_zero_shot__row_0032__model_llama4__persona_1__zero_shot__after
1,5,5,5,5,llama4,persona_2,zero_shot,before,restaurante_a_before_100_generated_responses_persona_2_zero_shot__row_0056__model_llama4__persona_2__zero_shot__before
1,5,3,5,5,llama4,persona_2,few_shot,after,restaurante_a_after_100_generated_responses_persona_2_few_shot__row_0034__model_llama4__persona_2__few_shot__after
1,4,3,4,5,gpt5.5,persona_2,zero_shot,before,restaurante_a_before_100_generated_responses_persona_2_zero_shot__row_0026__model_gpt5.5__persona_2__zero_shot__before
1,4,3,4,5,gpt5.5,persona_1,zero_shot,before,restaurante_a_before_100_generated_responses_persona_1_zero_shot__row_0050__model_gpt5.5__persona_1__zero_shot__before
1,3,4,3,5,gemini 3.1,persona_1,few_shot,before,restaurante_a_before_100_generated_responses_persona_1_few_shot__row_0030__model_gemini3.1__persona_1__few_shot__before
1,2,2,2,5,gpt5.5,persona_1,few_shot,before,restaurante_a_before_100_generated_responses_persona_1_few_shot__row_0080__model_gpt5.5__persona_1__few_shot__before
1,5,4,5,5,llama4,persona_1,zero_shot,before,restaurante_a_before_100_generated_responses_persona_1_zero_shot__row_0023__model_llama4__persona_1__zero_shot__before
1,4,2,4,5,gemini 3.1,persona_1,few_shot,after,restaurante_a_after_100_generated_responses_persona_1_few_shot__row_0047__model_gemini3.1__persona_1__few_shot__after
1,4,3,4,5,llama4,persona_2,few_shot,before,restaurante_a_before_100_generated_responses_persona_2_few_shot__row_0096__model_llama4__persona_2__few_shot__before
1,4,3,4,5,llama4,persona_1,zero_shot,before,restaurante_a_before_100_generated_responses_persona_1_zero_shot__row_0088__model_llama4__persona_1__zero_shot__before
1,5,4,4,5,gpt5.5,persona_2,few_shot,after,restaurante_a_after_100_generated_responses_persona_2_few_shot__row_0099__model_gpt5.5__persona_2__few_shot__after
1,4,3,4,5,gpt5.5,persona_2,zero_shot,after,restaurante_a_after_100_generated_responses_persona_2_zero_shot__row_0079__model_gpt5.5__persona_2__zero_shot__after
1,2,2,3,5,gemini 3.1,persona_2,few_shot,after,restaurante_a_after_100_generated_responses_persona_2_few_shot__row_0082__model_gemini3.1__persona_2__few_shot__after
1,3,2,2,3,llama4,persona_2,zero_shot,after,restaurante_a_after_100_generated_responses_persona_2_zero_shot__row_0036__model_llama4__persona_2__zero_shot__after
1,3,3,3,5,gpt5.5,persona_1,few_shot,before,restaurante_a_before_100_generated_responses_persona_1_few_shot__row_0035__model_gpt5.5__persona_1__few_shot__before
1,2,2,2,4,gemini 3.1,persona_2,few_shot,before,restaurante_a_before_100_generated_responses_persona_2_few_shot__row_0027__model_gemini3.1__persona_2__few_shot__before
1,4,3,5,5,gpt5.5,persona_1,few_shot,before,restaurante_a_before_100_generated_responses_persona_1_few_shot__row_0004__model_gpt5.5__persona_1__few_shot__before
1,4,2,4,3,llama4,persona_2,zero_shot,before,restaurante_a_before_100_generated_responses_persona_2_zero_shot__row_0085__model_llama4__persona_2__zero_shot__before
1,4,3,4,5,gpt5.5,persona_2,few_shot,before,restaurante_a_before_100_generated_responses_persona_2_few_shot__row_0082__model_gpt5.5__persona_2__few_shot__before
1,5,2,5,5,gemini 3.1,persona_2,zero_shot,after,restaurante_a_after_100_generated_responses_persona_2_zero_shot__row_0040__model_gemini3.1__persona_2__zero_shot__after
1,2,2,2,3,gemini 3.1,persona_2,few_shot,before,restaurante_a_before_100_generated_responses_persona_2_few_shot__row_0061__model_gemini3.1__persona_2__few_shot__before
1,5,3,5,5,llama4,persona_2,zero_shot,after,restaurante_a_after_100_generated_responses_persona_2_zero_shot__row_0005__model_llama4__persona_2__zero_shot__after
1,4,3,4,5,llama4,persona_1,zero_shot,after,restaurante_a_after_100_generated_responses_persona1_zero_shot__row_0097__model_llama4__persona_1__zero_shot__after
1,5,4,5,5,gpt5.5,persona_1,few_shot,after,restaurante_a_after_100_generated_responses_persona_1_few_shot__row_0063__model_gpt5.5__persona_1__few_shot__after
1,5,3,5,5,gpt5.5,persona_1,zero_shot,after,restaurante_a_after_100_generated_responses_persona1_zero_shot__row_0078__model_gpt5.5__persona_1__zero_shot__after
1,4,2,4,5,gemini 3.1,persona_1,zero_shot,after,restaurante_a_after_100_generated_responses_persona1_zero_shot__row_0096__model_gemini3.1__persona_1__zero_shot__after
1,4,3,4,5,gemini 3.1,persona_1,zero_shot,after,restaurante_a_after_100_generated_responses_persona1_zero_shot__row_0040__model_gemini3.1__persona_1__zero_shot__after
