row_id,comment,human_response_reference,restaurant,period,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__generated_response,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__token_count,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__mean_nll_per_token,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__perplexity,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__inverse_perplexity_0_1,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__valid_for_fluency,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__score_error,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__score_error_message,Gemini_Generated_Response_Persona_acolhedora_e_informal__generated_response,Gemini_Generated_Response_Persona_acolhedora_e_informal__token_count,Gemini_Generated_Response_Persona_acolhedora_e_informal__mean_nll_per_token,Gemini_Generated_Response_Persona_acolhedora_e_informal__perplexity,Gemini_Generated_Response_Persona_acolhedora_e_informal__inverse_perplexity_0_1,Gemini_Generated_Response_Persona_acolhedora_e_informal__valid_for_fluency,Gemini_Generated_Response_Persona_acolhedora_e_informal__score_error,Gemini_Generated_Response_Persona_acolhedora_e_informal__score_error_message,llama4_Generated_Response_Persona_acolhedora_e_informal__generated_response,llama4_Generated_Response_Persona_acolhedora_e_informal__token_count,llama4_Generated_Response_Persona_acolhedora_e_informal__mean_nll_per_token,llama4_Generated_Response_Persona_acolhedora_e_informal__perplexity,llama4_Generated_Response_Persona_acolhedora_e_informal__inverse_perplexity_0_1,llama4_Generated_Response_Persona_acolhedora_e_informal__valid_for_fluency,llama4_Generated_Response_Persona_acolhedora_e_informal__score_error,llama4_Generated_Response_Persona_acolhedora_e_informal__score_error_message
0,"Infelizmente minha visita não foi boa. Atendimento confuso, demora e pouca atenção da equipe.","Olá! Agradecemos por nos contar o que aconteceu. Sabemos da importância de uma boa experiência e vamos direcionar sua mensagem para análise da equipe responsável. Att,",Restaurante A,after,"Oi! Sentimos muito que sua experiência não tenha sido como esperávamos. A gente leva seu feedback com carinho e atenção, pois ele nos ajuda a melhorar sempre. Esperamos ter a chance de te receber novamente para uma experiência melhor.",47,4.531028,92.853947,0.01077,True,False,,"Oi! Sentimos muito que sua experiência não tenha sido como esperávamos. A gente leva seu feedback com carinho e atenção, pois ele nos ajuda a melhorar sempre. Esperamos ter a chance de te receber novamente para uma experiência melhor.",47,4.531028,92.853947,0.01077,True,False,,Pedimos desculpas pela frustração. O atendimento confuso não é o padrão que queremos oferecer. Dá uma nova chance pra gente?,23,5.576787,264.221422,0.003785,True,False,
1,"Gostei da experiência. Atendimento rápido, comida bem servida e ambiente aconchegante. Ótima opção em Manaus.",Muito obrigado pela visita! Ficamos felizes em saber que você aproveitou sua experiência conosco. 🍽️,Restaurante A,after,Oi! Obrigado por compartilhar sua experiência com a gente. Seu feedback é muito importante e nos ajuda a melhorar cada vez mais. Esperamos te ver novamente em breve para uma visita ainda mais especial!,40,4.044517,57.08361,0.017518,True,False,,"Que alegria ler isso! Ficamos muito felizes que você tenha gostado do atendimento e da nossa comida. Trabalhamos com muito carinho para proporcionar momentos assim. Volte sempre, vai ser um prazer te receber de novo!",43,4.812187,123.000291,0.00813,True,False,,Oi! Ficamos super felizes em saber disso! Adoramos saber que a experiência foi boa. Apareça mais vezes!,24,5.463023,235.809131,0.004241,True,False,
2,"Fui com a família e a experiência foi boa, mas o casquinha de caranguejo poderia estar melhor. Atendimento cordial, só achei a música um pouco alta.","Olá! Agradecemos pela sua avaliação. Seu feedback é fundamental para continuarmos aprimorando nosso serviço e proporcionando momentos especiais. Esperamos te receber novamente em breve! Atenciosamente,",Restaurante A,after,Oi! Obrigado por compartilhar sua experiência com a gente. Seu feedback é muito importante e nos ajuda a melhorar cada vez mais. Esperamos te ver novamente em breve para uma visita ainda mais especial!,40,4.044517,57.08361,0.017518,True,False,,"Oi! Obrigado por compartilhar sua experiência com a gente. Ficamos felizes que gostou do passeio em família, e já anotamos seu toque sobre a casquinha e a música para melhorarmos. Esperamos te ver em breve para uma visita ainda mais especial!",53,4.842057,126.729796,0.007891,True,False,,"Obrigada por compartilhar! Ficamos felizes que parte da experiência foi boa, e sentimos pelo música um pouco alta. Volte pra dar uma nova chance!",32,5.289074,198.159833,0.005046,True,False,
3,"Experiência muito agradável. Casa cheia, mas conseguiram nos acomodar bem. Pedimos carpaccio e drink temático da casa, tudo muito bom.",Agradecemos a preferência e sua avaliação. ❤️,Restaurante A,after,"Que alegria ler isso! Ficamos muito felizes que você tenha gostado da experiência. Trabalhamos com muito carinho para proporcionar momentos especiais. Volte sempre, vai ser um prazer te receber novamente!",38,4.748978,115.466179,0.008661,True,False,,"Poxa, que demais saber que você é fã do nosso camarão internacional! Ficamos muito contentes em fazer parte das suas vindas a Manaus. Estaremos aqui te esperando com o prato prontinho na próxima vez!",43,6.129081,459.014028,0.002179,True,False,,Oi! Que bom que gostou da experiência! O carpaccio é um dos favoritos da casa. Volte logo para nos visitar!,27,5.59077,267.941921,0.003732,True,False,
4,"Lugar excelente para happy hour. Comida saborosa, drinks bem feitos e equipe simpática. Destaque para o camarão jangadeiro.",Ficamos muito felizes com seu comentário! É um prazer receber você por aqui. Volte sempre! 😊,Restaurante A,after,"Que alegria ler isso! Ficamos muito felizes que você tenha gostado da experiência. Trabalhamos com muito carinho para proporcionar momentos especiais. Volte sempre, vai ser um prazer te receber novamente!",38,4.748978,115.466179,0.008661,True,False,,"Que show! Vamos passar esse elogio para o Ricardo, ele vai ficar super feliz em saber que mandou bem. É muito bom saber que a comida estava nota dez. Apareça mais vezes!",37,5.135924,170.021405,0.005882,True,False,,Oi! Ficamos super felizes em saber disso! O camarão jangadeiro é incrível mesmo. Volte sempre!,23,5.986423,397.988652,0.002513,True,False,
5,"Gostei da experiência. Atendimento rápido, comida bem servida e ambiente aconchegante. Ótima opção em Manaus.",Agradecemos a preferência e sua avaliação. ❤️,Restaurante A,after,Oi! Obrigado por compartilhar sua experiência com a gente. Seu feedback é muito importante e nos ajuda a melhorar cada vez mais. Esperamos te ver novamente em breve para uma visita ainda mais especial!,40,4.044517,57.08361,0.017518,True,False,,Oi! Obrigado pelo feedback sobre o sabor. A gente entende seu ponto sobre o valor e estamos sempre buscando equilibrar a melhor qualidade com uma experiência justa. Esperamos te ver de novo para mais um momento saboroso!,44,5.014132,150.525356,0.006643,True,False,,Ficamos super felizes com seu comentário! Adoramos saber que a experiência foi boa. Volte logo para nos visitar!,24,5.65894,286.84438,0.003486,True,False,
6,"Fui no almoço de trabalho e gostei bastante. Ambiente bonito, atendimento muito bom e o bolinho de bacalhau veio ótimo. O [funcionário] atendeu super bem. Voltarei!",Agradecemos a preferência e sua avaliação. ❤️,Restaurante A,after,"Que alegria ler isso! Ficamos muito felizes que você tenha gostado da experiência. Trabalhamos com muito carinho para proporcionar momentos especiais. Volte sempre, vai ser um prazer te receber novamente!",38,4.748978,115.466179,0.008661,True,False,,Ficamos muito felizes que você curtiu nosso ambiente e a Rede de Pescador! É muito bom saber que a limpeza e o sabor chamaram sua atenção. Volte logo para aproveitar mais um pouquinho da nossa casa!,44,5.138194,170.407748,0.005868,True,False,,Oi! Ficamos super felizes em saber disso! Adoramos saber que o almoço de trabalho foi especial. Volte logo para nos visitar!,28,5.488646,241.92942,0.004133,True,False,
7,"Experiência muito agradável. Casa cheia, mas conseguiram nos acomodar bem. Pedimos filé à parmegiana e aperol spritz, tudo muito bom.",Que alegria saber da sua experiência! Obrigado por compartilhar e esperamos te receber novamente em breve. ✨,Restaurante A,after,"Que alegria ler isso! Ficamos muito felizes que você tenha gostado da experiência. Trabalhamos com muito carinho para proporcionar momentos especiais. Volte sempre, vai ser um prazer te receber novamente!",38,4.748978,115.466179,0.008661,True,False,,"Poxa, pedimos desculpas pela demora no prato principal. Que bom que o sabor estava ótimo, mas sabemos que a espera cansa. Vamos ficar mais de olho nisso para sua próxima visita ser perfeita!",39,5.649084,284.0312,0.003521,True,False,,Obrigada por compartilhar! O filé à parmegiana é um dos favoritos da casa. Esperamos você de volta!,26,5.974698,393.34913,0.002542,True,False,
8,"Gostei da experiência. Atendimento rápido, comida bem servida e ambiente aconchegante. Ótima opção em Manaus.",Ficamos muito felizes com seu comentário! É um prazer receber você por aqui. Volte sempre! 😊,Restaurante A,after,Oi! Obrigado por compartilhar sua experiência com a gente. Seu feedback é muito importante e nos ajuda a melhorar cada vez mais. Esperamos te ver novamente em breve para uma visita ainda mais especial!,40,4.044517,57.08361,0.017518,True,False,,Parabéns pela comemoração! Adoramos receber aniversários e saber que nossa equipe cuidou bem de vocês. Esperamos que o novo ciclo seja incrível e que você volte para celebrar mais vezes com a gente!,41,4.575277,97.054952,0.010303,True,False,,Oi! Que bom que gostou da experiência! Nosso time fica muito feliz com esse retorno. Esperamos você de volta!,24,4.937376,139.40391,0.007173,True,False,
9,"Infelizmente minha visita não foi boa. Atendimento confuso, demora e pouca atenção da equipe.","Olá! Lamentamos pela sua experiência. Trabalhamos diariamente para melhorar e gostaríamos de entender melhor o ocorrido. Se puder, fale com a gente pelo link da unidade: https://exemplo.restaurante-a.com/feedback Att,",Restaurante A,after,"Oi! Sentimos muito que sua experiência não tenha sido como esperávamos. A gente leva seu feedback com carinho e atenção, pois ele nos ajuda a melhorar sempre. Esperamos ter a chance de te receber novamente para uma experiência melhor.",47,4.531028,92.853947,0.01077,True,False,,"Oi! Que bom que a comida estava gostosa. Pedimos desculpas pelo friozinho do ar condicionado, vamos dar uma conferida na temperatura para deixar o ambiente mais confortável. Obrigado por avisar a gente!",41,4.900612,134.372038,0.007442,True,False,,Oi! Ficamos tristes em saber disso. Vamos melhorar o atendimento confuso. Dá uma nova chance pra gente?,23,5.038624,154.257655,0.006483,True,False,
