row_id,comment,human_response_reference,restaurant,period,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__generated_response,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__token_count,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__mean_nll_per_token,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__perplexity,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__inverse_perplexity_0_1,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__valid_for_fluency,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__score_error,gpt5.5_Generated_Response_Persona_acolhedora_e_informal__score_error_message,Gemini_Generated_Response_Persona_acolhedora_e_informal__generated_response,Gemini_Generated_Response_Persona_acolhedora_e_informal__token_count,Gemini_Generated_Response_Persona_acolhedora_e_informal__mean_nll_per_token,Gemini_Generated_Response_Persona_acolhedora_e_informal__perplexity,Gemini_Generated_Response_Persona_acolhedora_e_informal__inverse_perplexity_0_1,Gemini_Generated_Response_Persona_acolhedora_e_informal__valid_for_fluency,Gemini_Generated_Response_Persona_acolhedora_e_informal__score_error,Gemini_Generated_Response_Persona_acolhedora_e_informal__score_error_message,llama4_Generated_Response_Persona_acolhedora_e_informal__generated_response,llama4_Generated_Response_Persona_acolhedora_e_informal__token_count,llama4_Generated_Response_Persona_acolhedora_e_informal__mean_nll_per_token,llama4_Generated_Response_Persona_acolhedora_e_informal__perplexity,llama4_Generated_Response_Persona_acolhedora_e_informal__inverse_perplexity_0_1,llama4_Generated_Response_Persona_acolhedora_e_informal__valid_for_fluency,llama4_Generated_Response_Persona_acolhedora_e_informal__score_error,llama4_Generated_Response_Persona_acolhedora_e_informal__score_error_message
0,"Infelizmente minha visita não foi boa. Atendimento confuso, demora e pouca atenção da equipe.","Olá! Agradecemos por nos contar o que aconteceu. Sabemos da importância de uma boa experiência e vamos direcionar sua mensagem para análise da equipe responsável. Att,",Restaurante A,after,"Poxa, sentimos muito por essa experiência não ter sido como você esperava. A gente leva esse tipo de feedback bem a sério e já estamos atentos a esses pontos para melhorar. Esperamos ter a chance de te receber novamente e fazer diferente.",49,4.415442,82.718394,0.012089,True,False,,"Poxa, sentimos muito que sua visita não tenha sido legal. A gente preza muito pelo cuidado no atendimento e seu toque é fundamental para ajustarmos os ponteiros por aqui. Esperamos de verdade que você nos dê uma nova chance para te mostrar o nosso melhor.",54,4.744477,114.947703,0.0087,True,False,,Sentimos muito pela experiência negativa. Seu feedback é importante para melhorarmos. Obrigado por nos informar.,20,5.515535,248.522871,0.004024,True,False,
1,"Gostei da experiência. Atendimento rápido, comida bem servida e ambiente aconchegante. Ótima opção em Manaus.",Muito obrigado pela visita! Ficamos felizes em saber que você aproveitou sua experiência conosco. 🍽️,Restaurante A,after,Ficamos muito felizes em saber que você gostou da experiência! Obrigado pelo carinho e por compartilhar com a gente. Vai ser um prazer enorme te receber novamente em breve.,34,4.111816,61.057522,0.016378,True,False,,"Que alegria ler seu comentário! Ficamos super felizes que você curtiu a agilidade e o nosso ambiente. É muito bom saber que somos sua escolha em Manaus. Volte sempre, viu?",37,6.034188,417.459808,0.002395,True,False,,Muito obrigado por nos visitar! Ficamos felizes com o retorno positivo. Volte sempre!,17,6.627188,755.354918,0.001324,True,False,
2,"Fui com a família e a experiência foi boa, mas o casquinha de caranguejo poderia estar melhor. Atendimento cordial, só achei a música um pouco alta.","Olá! Agradecemos pela sua avaliação. Seu feedback é fundamental para continuarmos aprimorando nosso serviço e proporcionando momentos especiais. Esperamos te receber novamente em breve! Atenciosamente,",Restaurante A,after,Muito obrigado pelo seu comentário. Estamos sempre atentos a cada detalhe para melhorar a experiência de todos que passam por aqui. Esperamos te receber novamente em breve.,31,4.275272,71.89972,0.013908,True,False,,"Oi! Valeu demais por compartilhar esse momento com a gente. Ficamos contentes que a família aproveitou, e já anotamos sua observação sobre o caranguejo e o som para melhorarmos. Esperamos vocês para uma próxima visita ainda mais gostosa!",52,5.002865,148.839019,0.006719,True,False,,Muito obrigado! É bom saber que gostou de alguns pontos. Vamos trabalhar para melhorar o casquinha de caranguejo.,22,5.070386,159.235846,0.00628,True,False,
3,"Experiência muito agradável. Casa cheia, mas conseguiram nos acomodar bem. Pedimos carpaccio e drink temático da casa, tudo muito bom.",Agradecemos a preferência e sua avaliação. ❤️,Restaurante A,after,"Muito obrigado pelo seu feedback! É ótimo saber que conseguimos proporcionar um momento especial para você. Já estamos com saudade, volte sempre.",26,5.25821,192.137293,0.005205,True,False,,O Camarão Internacional é um dos nossos xodós também! Ficamos lisonjeados em saber que viramos parada obrigatória nas suas vindas a Manaus. Estaremos aqui te esperando com o prato quentinho na próxima!,45,6.060517,428.596893,0.002333,True,False,,Obrigado pelo elogio! Trabalhamos para oferecer o melhor aos nossos clientes. Até a próxima!,18,4.986315,146.395926,0.006831,True,False,
4,"Lugar excelente para happy hour. Comida saborosa, drinks bem feitos e equipe simpática. Destaque para o camarão jangadeiro.",Ficamos muito felizes com seu comentário! É um prazer receber você por aqui. Volte sempre! 😊,Restaurante A,after,Ficamos muito felizes em saber que você gostou da experiência! Obrigado pelo carinho e por compartilhar com a gente. Vai ser um prazer enorme te receber novamente em breve.,34,4.111816,61.057522,0.016378,True,False,,Que bacana! O Ricardo é nota dez mesmo e vamos fazer questão de passar seu elogio para ele. Saber que a comida estava impecável nos deixa com um sorrisão no rosto. Apareça mais vezes!,40,6.015547,409.749828,0.002441,True,False,,Muito obrigado! Estamos felizes que o camarão jangadeiro foi aprovado. Volte sempre!,17,6.683631,799.216138,0.001251,True,False,
5,"Gostei da experiência. Atendimento rápido, comida bem servida e ambiente aconchegante. Ótima opção em Manaus.",Agradecemos a preferência e sua avaliação. ❤️,Restaurante A,after,Que alegria ler seu comentário! Saber que você teve uma boa experiência com a gente faz tudo valer a pena. Esperamos te ver novamente muito em breve.,30,5.137007,170.205539,0.005875,True,False,,"Oi! Obrigado pelo feedback sobre o sabor e pelo ponto sobre o valor. A gente trabalha com ingredientes selecionados para garantir qualidade, mas valorizamos muito sua percepção. Esperamos te ver de novo para mais um momento especial!",46,5.183374,178.283312,0.005609,True,False,,Que bom saber que a experiência foi positiva! Obrigado por escolher o Restaurante A!,18,5.767309,319.676233,0.003128,True,False,
6,"Fui no almoço de trabalho e gostei bastante. Ambiente bonito, atendimento muito bom e o bolinho de bacalhau veio ótimo. O [funcionário] atendeu super bem. Voltarei!",Agradecemos a preferência e sua avaliação. ❤️,Restaurante A,after,Que alegria ler seu comentário! Saber que você teve uma boa experiência com a gente faz tudo valer a pena. Esperamos te ver novamente muito em breve.,30,5.137007,170.205539,0.005875,True,False,,Ficamos muito felizes que você gostou da limpeza e da nossa Rede de Pescador! É muito gratificante saber que os detalhes do nosso ambiente fizeram a diferença para você. Volte logo!,39,4.590956,98.58861,0.010143,True,False,,Que bom saber que o [funcionário] atendeu bem! Obrigado por nos visitar!,15,5.54235,255.277149,0.003917,True,False,
7,"Experiência muito agradável. Casa cheia, mas conseguiram nos acomodar bem. Pedimos filé à parmegiana e aperol spritz, tudo muito bom.",Que alegria saber da sua experiência! Obrigado por compartilhar e esperamos te receber novamente em breve. ✨,Restaurante A,after,Que alegria ler seu comentário! Saber que você teve uma boa experiência com a gente faz tudo valer a pena. Esperamos te ver novamente muito em breve.,30,5.137007,170.205539,0.005875,True,False,,"Eita, pedimos desculpas pela demora no prato! Que bom que o sabor compensou, mas a gente sabe que a espera cansa. Vamos ficar mais atentos ao tempo para sua próxima visita ser redondinha!",43,5.293871,199.112686,0.005022,True,False,,Que bom saber que o filé à parmegiana agradou! Obrigado por escolher o Restaurante A!,23,6.978884,1073.719152,0.000931,True,False,
8,"Gostei da experiência. Atendimento rápido, comida bem servida e ambiente aconchegante. Ótima opção em Manaus.",Ficamos muito felizes com seu comentário! É um prazer receber você por aqui. Volte sempre! 😊,Restaurante A,after,Que alegria ler seu comentário! Saber que você teve uma boa experiência com a gente faz tudo valer a pena. Esperamos te ver novamente muito em breve.,30,5.137007,170.205539,0.005875,True,False,,Adoramos comemorar aniversários por aqui! Ficamos radiantes que nossa equipe ajudou a tornar seu dia mais especial. Parabéns e que você volte sempre para celebrar com a gente!,37,4.794388,120.830446,0.008276,True,False,,Muito obrigado por nos visitar! Ficamos felizes com o retorno positivo. Volte sempre!,17,6.627188,755.354918,0.001324,True,False,
9,"Infelizmente minha visita não foi boa. Atendimento confuso, demora e pouca atenção da equipe.","Olá! Lamentamos pela sua experiência. Trabalhamos diariamente para melhorar e gostaríamos de entender melhor o ocorrido. Se puder, fale com a gente pelo link da unidade: https://exemplo.restaurante-a.com/feedback Att,",Restaurante A,after,Sentimos muito mesmo por essa situação. Esse não é o padrão que queremos entregar e seu comentário nos ajuda a enxergar onde podemos evoluir. Esperamos te ver novamente para uma experiência mais positiva.,37,5.474779,238.597762,0.004191,True,False,,"Oi! Que bom que a comida agradou. Pedimos desculpas pelo friozinho exagerado do ar, vamos dar uma regulada na temperatura para o conforto ficar perfeito. Valeu por avisar!",36,6.042051,420.755252,0.002377,True,False,,Pedimos desculpas pela experiência. Vamos trabalhar para melhorar. Esperamos uma nova oportunidade.,16,4.561126,95.69119,0.01045,True,False,
