model,persona,shot_type,period,n,tqs_mean,tqs_median,tqs_std,tqs_min,tqs_max,predicted_likert_mean,predicted_likert_std
Llama4,persona_1,zero_shot,after,100,0.6427140247969522,0.6339227398746363,0.10617390330241826,0.25759382068406145,0.772227884786229,3.5708560991878087,0.42469561320967303
Llama4,persona_2,zero_shot,after,100,0.6367031740995721,0.6175791367905213,0.12228025651159596,0.34603388433731286,0.818653355791418,3.546812696398289,0.48912102604638386
Llama4,persona_1,zero_shot,before,100,0.596100478086248,0.6111968834242791,0.07549564753185935,0.24456328408853878,0.764040402701359,3.384401912344992,0.3019825901274374
Llama4,persona_2,zero_shot,before,100,0.5899329586552036,0.593475020571089,0.06339754922995292,0.49682714977726183,0.7974825363728599,3.3597318346208143,0.25359019691981166
GPT-5.5,persona_2,zero_shot,after,100,0.585639879965466,0.5596803672280432,0.10556311583271281,0.46301049862083676,0.7983144209122834,3.342559519861864,0.42225246333085126
GPT-5.5,persona_1,few_shot,after,100,0.5797564860956561,0.6057603424893281,0.12123516184593262,0.24653851931807957,0.7921151150774186,3.3190259443826244,0.4849406473837305
GPT-5.5,persona_1,few_shot,before,100,0.5664839676886003,0.5852888103363103,0.07798027433539798,0.2455752697185032,0.7313282737549005,3.265935870754401,0.3119210973415919
Llama4,persona_2,few_shot,before,100,0.5602483923498611,0.5362314170065319,0.07169865364537166,0.4540283297146772,0.7661719550671515,3.2409935693994445,0.28679461458148664
GPT-5.5,persona_2,few_shot,after,100,0.5594076039160275,0.5811514002903069,0.09951362594994308,0.3897491099253896,0.7613807249769666,3.23763041566411,0.3980545037997723
Llama4,persona_1,few_shot,after,100,0.5562441378137647,0.5230284227775128,0.11260044740290542,0.24463705555437198,0.8394373258244439,3.2249765512550583,0.4504017896116217
Llama4,persona_1,few_shot,before,100,0.5464206017247033,0.5399621324866131,0.08317912089916035,0.24560776842897314,0.7215588782754444,3.1856824068988137,0.3327164835966414
GPT-5.5,persona_1,zero_shot,before,100,0.5387481746652472,0.5337742776943639,0.09783491570997047,0.2442716689489639,0.7459248129387126,3.1549926986609886,0.39133966283988186
Gemini,persona_1,zero_shot,before,100,0.5273046567624857,0.507826741877844,0.0867428816247966,0.24750346562527648,0.8025854585827914,3.109218627049943,0.3469715264991864
Gemini,persona_1,zero_shot,after,100,0.5271868204725163,0.49035868318636705,0.14044335150636958,0.24573308720941567,0.8064608646541533,3.1087472818900648,0.5617734060254783
Llama4,persona_2,few_shot,after,100,0.5267631803671768,0.506592306088459,0.0922641047565912,0.25061363106390044,0.7598822759285957,3.1070527214687074,0.3690564190263648
Gemini,persona_1,few_shot,before,100,0.5261990222982497,0.5065398068702531,0.0865689771218354,0.24747191517219624,0.7990805357867916,3.104796089192999,0.3462759084873416
GPT-5.5,persona_1,zero_shot,after,100,0.5256380620685828,0.4846953097284124,0.09927072471027142,0.2574524337565429,0.7574668668952138,3.102552248274331,0.39708289884108566
Gemini,persona_1,few_shot,after,100,0.524739571430555,0.4888275721391802,0.13872083161056856,0.2450894326183245,0.8110576154536551,3.0989582857222207,0.5548833264422742
Gemini,persona_2,few_shot,before,100,0.5043603769373436,0.49837186673704736,0.08574884412375118,0.24698693335573163,0.7580893278918319,3.017441507749374,0.3429953764950048
Gemini,persona_2,zero_shot,before,100,0.5043518065250115,0.49837186673704736,0.08575149020318547,0.24698693335573163,0.7580893278918319,3.017407226100046,0.3430059608127419
Gemini,persona_2,few_shot,after,100,0.4979820153880764,0.48321995143450075,0.11876362809822298,0.2449536376103456,0.7748023526345469,2.991928061552306,0.475054512392892
GPT-5.5,persona_2,few_shot,before,100,0.49744180129072435,0.5007655069264747,0.06545861979710242,0.24880634393241408,0.7458058622544288,2.9897672051628974,0.2618344791884097
GPT-5.5,persona_2,zero_shot,before,100,0.4971771651753986,0.49993445651555246,0.06594468102020812,0.24859557593128784,0.7464893877565513,2.9887086607015947,0.2637787240808324
Gemini,persona_2,zero_shot,after,100,0.4916037823267834,0.48557405875276627,0.11520686998194096,0.2457527108786709,0.7712792213953077,2.9664151293071335,0.4608274799277639
